pub_date	title	venue	excerpt	citation	url_slug	paper_url
2019-06-24	NFVdeep: Adaptive Online Service Function Chain Deployment with Deep Reinforcement Learning	Proc. of IEEE/ACM IWQoS	Abstract	Todo	Adaptive-Online-Service-Function-Chain-Deployment-with-Deep-Reinforcement-Learning	https://JiahaiHu.github.io/files/NFVdeep-FangmingLiu.pdf
2019-08-05	Cynthia: Cost-Efficient Cloud Resource Provisioning for Predictable Distributed Deep Neural Network Training	Proc. of ICPP	Abstract	Todo	Cost-Efficient-Cloud-Resource-Provisioning-for-Predictable-Distributed-Deep-Neural-Network-Training	https://JiahaiHu.github.io/files/ICPP2019-distributed-ML.pdf
2019-08-05	Stage Delay Scheduling: Speeding up DAG-style Data Analytics Jobs with Resource Interleaving	Proc. of ICPP	Abstract	Todo	Speeding-up-DAG-style-Data-Analytics-Jobs-with-Resource-Interleaving	https://JiahaiHu.github.io/files/ICPP2019-BigData.pdf
2019-04-29	Winning at the Starting Line: Joint Network Selection and Service Placement for Mobile Edge Computing	Proc. of IEEE INFOCOM	Abstract	Todo	Joint-Network-Selection-and-Service-Placement-for-Mobile-Edge-Computing	https://JiahaiHu.github.io/files/INFOCOM2019-MEC-FangmingLiu.pdf
2019-04-29	An Online Market Mechanism for Edge Emergency Demand Response via Cloudlet Control	Proc. of IEEE INFOCOM	Abstract	Todo	An-Online-Market-Mechanism-for-Edge-Emergency-Demand-Response-via-Cloudlet-Control	https://JiahaiHu.github.io/files/INFOCOM2019-Edge-demand-response-FangmingLiu.pdf
2018-07-02	DHL: Enabling Flexible Software Network Functions with FPGA Acceleration	Proc. of IEEE ICDCS	Abstract	Todo	Enabling-Flexible-Software-Network-Functions-with-FPGA-Acceleration	https://JiahaiHu.github.io/files/icdcs18-DHL-FPGA-FangmingLiu.pdf
2018-07-02	Non-IT Energy Accounting in Virtualized Datacenter	Proc. of IEEE ICDCS	Abstract	Todo	Non-IT-Energy-Accounting-in-Virtualized-Datacenter	https://JiahaiHu.github.io/files/icdcs18-LEAPS-FangmingLiu.pdf
2018-04-15	Load Balancing across Microservices	Proc. of IEEE INFOCOM	Abstract	Todo	Load-Balancing-across-Microservices	https://JiahaiHu.github.io/files/microservice-infocom18.pdf
2018-04-15	Demystifying the Performance Interference of Co-located Virtual Network Functions	Proc. of IEEE INFOCOM	Abstract	Todo	Demystifying-the-Performance-Interference-of-Co-located-Virtual-Network-Functions	https://JiahaiHu.github.io/files/vnf-interference-infocom18.pdf
2018-04-15	Adaptive VNF Scaling and Flow Routing with Proactive Demand Prediction	Proc. of IEEE INFOCOM	Abstract	Todo	Adaptive-VNF-Scaling-and-Flow-Routing-with-Proactive-Demand-Prediction	https://JiahaiHu.github.io/files/vnf-scaling-infocom18.pdf
2018-06-01	Data Driven Chiller Sequencing for Reducing HVAC Electricity Consumption in Commercial Buildings	Proc. of ACM e-Energy	Abstract	Todo	Data-Driven-Chiller-Sequencing-for-Reducing-HVAC-Electricity-Consumption-in-Commercial-Buildings	https://JiahaiHu.github.io/files/eenergy18-edge computing-case.pdf
2017-07-01	Pricing Intra-Datacenter Networks with Over-Committed Bandwidth Guarantee	Proc. of USENIX ATC	Abstract	Todo	Pricing-Intra-Datacenter-Networks-with-Over-Committed-Bandwidth-Guarantee	https://JiahaiHu.github.io/files/atc17-DCN-FangmingLiu.pdf
2017-06-01	Towards Load-Balanced VNF Assignment in Geo-distributed NFV Infrastructure	Proc. of IEEE/ACM IWQoS	Abstract	Todo	Towards-Load-Balanced-VNF-Assignment-in-Geo-distributed-NFV-Infrastructure	https://JiahaiHu.github.io/files/geo-nfv-iwqos2017-FangmingLiu.pdf
2017-05-01	Handling Flash Deals with Soft Guarantee in Hybrid Cloud	Proc. of IEEE INFOCOM	Abstract	Todo	Handling-Flash-Deals-with-Soft-Guarantee-in-Hybrid-Cloud	https://JiahaiHu.github.io/files/hybrid-cloud-infocom2017-FangmingLiu.pdf
2017-06-01	Joint Optimization of Chain Placement and Request Scheduling for Network Function Virtualization	Proc. of IEEE ICDCS	Abstract	Todo	Joint-Optimization-of-Chain-Placement-and-Request-Scheduling-for-Network-Function-Virtualization	https://JiahaiHu.github.io/files/NFV-chain-icdcs2017.pdf
2017-06-01	Virtual Machine Power Accounting with Shapley Value	Proc. of IEEE ICDCS	Abstract	Todo	Virtual-Machine-Power-Accounting-with-Shapley-Value	https://JiahaiHu.github.io/files/VMPower-icdcs2017.pdf
2017-06-01	Reducing Cellular Signaling Traffic for Heartbeat Messages via Energy-Efficient D2D Forwarding	Proc. of IEEE ICDCS	Abstract	Todo	Reducing-Cellular-Signaling-Traffic-for-Heartbeat-Messages-via-Energy-Efficient-D2D-Forwarding	https://JiahaiHu.github.io/files/D2D-icdcs2017.pdf
2017-06-01	Multi-Resource Load Balancing for Virtual Network Functions	Proc. of IEEE ICDCS	Abstract	Todo	Multi-Resource-Load-Balancing-for-Virtual-Network-Functions	https://JiahaiHu.github.io/files/VNF-icdcs2017.pdf
2017-08-01	Aemon: Information-agnostic Mix-flow Scheduling in Data Center Networks	The First Asia-Pacific Workshop on Networking (APNet)	Abstract	Todo	Information-agnostic-Mix-flow-Scheduling-in-Data-Center-Networks	https://JiahaiHu.github.io/files/APNet17-DCN-FangmingLiu.pdf
2017-10-23	Energy Efficiency in Colocation Data Centers: A Joint Incentive Mechanism Approach	The 8th International Green and Sustainable Computing Conference (IGSC)	Abstract	Todo	Energy-Efficiency-in-Colocation-Data-Centers:-A-Joint-Incentive-Mechanism-Approach	https://JiahaiHu.github.io/files/IGSC-2017.pdf
2016-04-01	Dynamic SDN Controller Assignment in Data Center Networks: Stable Matching with Transfers	Proc. of IEEE INFOCOM	Abstract	Todo	Dynamic-SDN-Controller-Assignment-in-Data-Center-Networks:-Stable-Matching-with-Transfers	https://JiahaiHu.github.io/files/SDN-Fangming%20Liu-infocom16.pdf
2016-06-01	Flexible Instance: Meeting Deadlines of Delay Tolerant Jobs in The Cloud with Dynamic Pricing	Proc. of IEEE ICDCS	Abstract	Todo	Meeting-Deadlines-of-Delay-Tolerant-Jobs-in-The-Cloud-with-Dynamic-Pricing	https://JiahaiHu.github.io/files/icdcs16-cloud-FangmingLiu.pdf
2016-06-01	Demystifying the Energy Efficiency of Network Function Virtualization	Proc. of IEEE/ACM IWQoS	Abstract	Todo	Demystifying-the-Energy-Efficiency-of-Network-Function-Virtualization	https://JiahaiHu.github.io/files/iwqos16-NFV-fangmingliu.pdf
2016-06-01	On the Performance of Cloud Storage Applications with Global Measurement	Proc. of IEEE/ACM IWQoS	Abstract	Todo	On-the-Performance-of-Cloud-Storage-Applications-with-Global-Measurement	https://JiahaiHu.github.io/files/iwqos16-CCS-fangmingliu.pdf
2016-04-04	Not All Joules are Equal: Towards Energy-Efficient and Green-Aware Data Processing Frameworks	Proc. of IEEE IC2E 2016 (IEEE International Conference on Cloud Engineering)	Abstract	Todo	Towards-Energy-Efficient-and-Green-Aware-Data-Processing-Frameworks	https://JiahaiHu.github.io/files/IC2E16-GreemMR.pdf
2015-12-01	UniDrive: Synergize Multiple Consumer Cloud Storage Services	Proc. of ACM/IFIP/USENIX Middleware	Abstract	Todo	Synergize-Multiple-Consumer-Cloud-Storage-Services	https://JiahaiHu.github.io/files/UniDrive-Fangming%20Liu-Middleware2015.pdf
2015-12-01	"Zero-Cost, Fine-Grained Power Monitoring of Datacenters Using Non-Intrusive Power Disaggregation"	Proc. of ACM/IFIP/USENIX Middleware	Abstract	Todo	Zero-Cost-Fine-Grained-Power-Monitoring-of-Datacenters-Using-Non-Intrusive-Power-Disaggregation	https://JiahaiHu.github.io/files/Datacenter-Fangming%20Liu-Middleware2015.pdf
2015-06-01	eTrain: Making Wasted Energy Useful by Utilizing Heartbeats for Mobile Data Transmissions	Proc. of IEEE ICDCS	Abstract	Todo	Making-Wasted-Energy-Useful-by-Utilizing-Heartbeats-for-Mobile-Data-Transmissions	https://JiahaiHu.github.io/files/icdcs15-FangmingLiu.pdf
2015-06-01	Pricing Bilateral Electricity Trade between Smart Grids and Hybrid Green Datacenters	Proc. of ACM SIGMETRICS	Abstract	Todo	Pricing-Bilateral-Electricity-Trade-between-Smart-Grids-and-Hybrid-Green-Datacenters	https://JiahaiHu.github.io/files/sigmetrics15-FangmingLiu.pdf
2015-04-01	When Smart Grid Meets Geo-distributed Cloud: An Auction Approach to Datacenter Demand Response	Proc. of IEEE INFOCOM	Abstract	Todo	An-Auction-Approach-to-Datacenter-Demand-Response	https://JiahaiHu.github.io/files/infocom15-smartgrid-FangmingLiu.pdf
2015-04-01	When Hybrid Cloud Meets Flash Crowd: Towards Cost-Effective Service Provisioning	Proc. of IEEE INFOCOM	Abstract	Todo	Towards-Cost-Effective-Service-Provisioning	https://JiahaiHu.github.io/files/infocom15-hybridcloud-FangmingLiu.pdf
2015-11-09	Cost Effective Service Provisioning for Hybrid Cloud Applications	"The 11th International Conference on Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom 2015)"	Abstract	Todo	Cost-Effective-Service-Provisioning-for-Hybrid-Cloud-Applications	
2014-06-01	Fuel Cell Generation in Geo-Distributed Cloud Services: A Quantitative Study	Proc. of IEEE ICDCS	Abstract	Todo	Fuel-Cell-Generation-in-Geo-Distributed-Cloud-Services:-A-Quantitative-Study	https://JiahaiHu.github.io/files/ICDCS-768-FangmingLiu.pdf
2014-03-01	Server Selection and Topology Control for Multi-Party Video Conferences	Proc. of ACM NOSSDAV	Abstract	Todo	Server-Selection-and-Topology-Control-for-Multi-Party-Video-Conferences	https://JiahaiHu.github.io/files/nossdav2014.pdf
2014-04-01	On Efficient Bandwidth Allocation for Traffic Variability in Datacenters	Proc. of IEEE INFOCOM	Abstract	Todo	On-Efficient-Bandwidth-Allocation-for-Traffic-Variability-in-Datacenters	https://JiahaiHu.github.io/files/infocom2014-report.pdf
